Vietnamese,English,Frequency,Status
"bà","Mrs.",13,TRANSLATED
"duyên","fate/destiny",13,TRANSLATED
"cũng","",13,NEEDS TRANSLATION
"công","",13,NEEDS TRANSLATION
"bay","fly",13,TRANSLATED
"la","",13,NEEDS TRANSLATION
"cô","Miss/aunt",13,TRANSLATED
"tay","",13,NEEDS TRANSLATION
"nghe","listen/hear",13,TRANSLATED
"sông","river",13,TRANSLATED
"á","",12,NEEDS TRANSLATION
"chẳng","not",12,TRANSLATED
"ở","",12,NEEDS TRANSLATION
"chiều","evening/afternoon",12,TRANSLATED
"gặp","",12,NEEDS TRANSLATION
"hố","",12,NEEDS TRANSLATION
"Gió","",12,NEEDS TRANSLATION
"đã","",11,NEEDS TRANSLATION
"non","",11,NEEDS TRANSLATION
"Em","you (younger)",11,TRANSLATED
"ôi","",11,NEEDS TRANSLATION
"nhà","house",11,TRANSLATED
"ni","",11,NEEDS TRANSLATION
"lòng","heart/inside",11,TRANSLATED
"ha","",11,NEEDS TRANSLATION
"Một","one",11,TRANSLATED
"ấy","",11,NEEDS TRANSLATION
"(a)","",11,NEEDS TRANSLATION
"bông","flower/cotton",10,TRANSLATED
"luống","furrow/bed",10,TRANSLATED
"Có","have/there is",10,TRANSLATED
"như","",10,NEEDS TRANSLATION
"trong","in/inside",10,TRANSLATED
"với","with",10,TRANSLATED
"vông","",10,NEEDS TRANSLATION
"đôi","pair/couple",10,TRANSLATED
"nên","therefore/should",10,TRANSLATED
"chàng","young man/he",10,TRANSLATED
"Hơ","",10,NEEDS TRANSLATION
"vàng","yellow",10,TRANSLATED
"chưa","not yet",10,TRANSLATED
"Ê","",10,NEEDS TRANSLATION
"huậy","",10,NEEDS TRANSLATION
"này","this/hey",9,TRANSLATED
"tềnh","",9,NEEDS TRANSLATION
"chứ","",9,NEEDS TRANSLATION
"đường","road/way",9,TRANSLATED
"kia","",9,NEEDS TRANSLATION
"đồng","field",9,TRANSLATED
"hay","",9,NEEDS TRANSLATION
"sao","why/how",9,TRANSLATED
"ối","",9,NEEDS TRANSLATION
"rứa","",9,NEEDS TRANSLATION
"đa","",9,NEEDS TRANSLATION
"múa","dance",9,TRANSLATED
"kêu","",9,NEEDS TRANSLATION
"đừng","don't",9,TRANSLATED
"cha","father",9,TRANSLATED
"mây","cloud",9,TRANSLATED
"mặt","",9,NEEDS TRANSLATION
"sóng","",9,NEEDS TRANSLATION
"vui","happy/fun",9,TRANSLATED
"đèo","",9,NEEDS TRANSLATION
"gì","what",8,TRANSLATED
"thời","time/period",8,TRANSLATED
"đậu","bean",8,TRANSLATED
"quan","official",8,TRANSLATED
"một","one",8,TRANSLATED
"ngồi","sit",8,TRANSLATED
"trống","drum",8,TRANSLATED
"mới","new",8,TRANSLATED
"nặng","",8,NEEDS TRANSLATION
"ôông","",8,NEEDS TRANSLATION
"câu","",8,NEEDS TRANSLATION
"bỏ","",8,NEEDS TRANSLATION
"mài","grind",8,TRANSLATED
"(ơ)","",8,NEEDS TRANSLATION
"ngủ","sleep",8,TRANSLATED
"trông","",8,NEEDS TRANSLATION
"A","",8,NEEDS TRANSLATION
"rị","",8,NEEDS TRANSLATION
"hư","",8,NEEDS TRANSLATION
"Anh","you (older brother/male)",8,TRANSLATED
"sáo","flute",8,TRANSLATED
"trèo","climb",8,TRANSLATED
"trường","long/school",8,TRANSLATED
"(ơ","",8,NEEDS TRANSLATION
"nở","",8,NEEDS TRANSLATION
"Rí","Ri (name)",7,TRANSLATED
"đâu","where",7,TRANSLATED
"nhân","",7,NEEDS TRANSLATION
"trăng","moon",7,TRANSLATED
"Bắc","",7,NEEDS TRANSLATION
"cành","",7,NEEDS TRANSLATION
"trời","",7,NEEDS TRANSLATION
"thấy","see",7,TRANSLATED
"cửa","",7,NEEDS TRANSLATION
"tính","",7,NEEDS TRANSLATION
"Ngồi","sit",7,TRANSLATED
"cơm","cooked rice",7,TRANSLATED
"mùa","season",7,TRANSLATED
"đánh","",7,NEEDS TRANSLATION
"gần","",7,NEEDS TRANSLATION
"chung","",7,NEEDS TRANSLATION
"ngày","day",7,TRANSLATED
"ý","",7,NEEDS TRANSLATION
"năm","five",7,TRANSLATED
"chớ","",7,NEEDS TRANSLATION
"chỉ","thread/point",7,TRANSLATED
"già","old",7,TRANSLATED
"hương","",7,NEEDS TRANSLATION
"ngàn","",7,NEEDS TRANSLATION
"lồng","",7,NEEDS TRANSLATION
"bán","",7,NEEDS TRANSLATION
"ớ","",7,NEEDS TRANSLATION
"yêu","love",7,TRANSLATED
"nón","hat",7,TRANSLATED
"ê","",7,NEEDS TRANSLATION
"giông","",7,NEEDS TRANSLATION
"bồong","",7,NEEDS TRANSLATION
"(thời)","",7,NEEDS TRANSLATION
"quân","",7,NEEDS TRANSLATION
"đố","riddle/bet",6,TRANSLATED
"ới","",6,NEEDS TRANSLATION
"phải","must/right",6,TRANSLATED
"hoài","always/constantly",6,TRANSLATED
"tài","",6,NEEDS TRANSLATION
"trò","game/play",6,TRANSLATED
"Để","",6,NEEDS TRANSLATION
"xuống","go down",6,TRANSLATED
"được","can/able/get",6,TRANSLATED
"nọ","",6,NEEDS TRANSLATION
"Chim","bird",6,TRANSLATED
"rừng","forest",6,TRANSLATED
"mắt","",6,NEEDS TRANSLATION
"chín","nine",6,TRANSLATED
"thiên","",6,NEEDS TRANSLATION
"linh","soul/soldier",6,TRANSLATED
"chợ","market",6,TRANSLATED
"cùng","together with",6,TRANSLATED
"Kìa","that (over there)",6,TRANSLATED
"Đây","",6,NEEDS TRANSLATION
"ti","",6,NEEDS TRANSLATION
"nào","which",6,TRANSLATED
"thêu","",6,NEEDS TRANSLATION
"kim","",6,NEEDS TRANSLATION
"lời","",6,NEEDS TRANSLATION
"nghĩa","",6,NEEDS TRANSLATION
"rồi","",6,NEEDS TRANSLATION
"chăng","",6,NEEDS TRANSLATION
"lang","lang (plant)",6,TRANSLATED
"nàng","",6,NEEDS TRANSLATION
"hề","",6,NEEDS TRANSLATION
"tới","",6,NEEDS TRANSLATION
"hô","",6,NEEDS TRANSLATION
"dầu","",6,NEEDS TRANSLATION
"thuyền","boat",6,TRANSLATED
"đò","ferry",6,TRANSLATED
"các","all/various",6,TRANSLATED
"vượn","",6,NEEDS TRANSLATION
"dớ","silly",6,TRANSLATED
"hi","",6,NEEDS TRANSLATION
"(chứ)","",6,NEEDS TRANSLATION
"xe","vehicle/cart",6,TRANSLATED
"lưng","back/waist",5,TRANSLATED
"thế","",5,NEEDS TRANSLATION
"Rằng","Rang (name)",5,TRANSLATED
"chốn","place",5,TRANSLATED
"dây","thread/rope/string",5,TRANSLATED
"ông","Mr.",5,TRANSLATED
"khổ","suffer",5,TRANSLATED
"đời","life",5,TRANSLATED
"chân","leg/foot",5,TRANSLATED
"lá","leaf",5,TRANSLATED
"ván","plank/board",5,TRANSLATED
"Chàng","young man/he",5,TRANSLATED
"cò","egret/heron",5,TRANSLATED
"từ","from",5,TRANSLATED
"bao","",5,NEEDS TRANSLATION
"bố","dad",5,TRANSLATED
"đến","come/arrive",5,TRANSLATED
"vôi","lime",5,TRANSLATED
"cao","tall/high",5,TRANSLATED
"tấu","",5,NEEDS TRANSLATION
"vào","enter",5,TRANSLATED
"tầm","",5,NEEDS TRANSLATION
"tập","",5,NEEDS TRANSLATION
"xứ","",5,NEEDS TRANSLATION
"hà","",5,NEEDS TRANSLATION
"xây","",5,NEEDS TRANSLATION
"pì","",5,NEEDS TRANSLATION
"tùa","",5,NEEDS TRANSLATION
"mái","roof/mai (work song type)",5,TRANSLATED
"đắp","build up",5,TRANSLATED
"xanh","blue/green",5,TRANSLATED
"bóng","",5,NEEDS TRANSLATION
"lúa","",5,NEEDS TRANSLATION
"ời","",5,NEEDS TRANSLATION
"(mà)","",5,NEEDS TRANSLATION
"núi","mountain",5,TRANSLATED
"Chiều","evening/afternoon",5,TRANSLATED
"sa","",5,NEEDS TRANSLATION
"hơi","",5,NEEDS TRANSLATION
"vợ","wife",5,TRANSLATED
"đất","",5,NEEDS TRANSLATION
"quê","",5,NEEDS TRANSLATION
"ngô","",5,NEEDS TRANSLATION
"lâu","",5,NEEDS TRANSLATION
"biển","sea/ocean",5,TRANSLATED
"dày","",5,NEEDS TRANSLATION
"Cùng","together with",5,TRANSLATED
"trăm","",5,NEEDS TRANSLATION
"đem","",5,NEEDS TRANSLATION
"đập","pound/beat",5,TRANSLATED
"của","of",5,TRANSLATED
"sâu","",5,NEEDS TRANSLATION
"ngoài","outside",5,TRANSLATED
"Kỳ","",5,NEEDS TRANSLATION
"sổ","",5,NEEDS TRANSLATION
"noọng","",5,NEEDS TRANSLATION
"dơ","",5,NEEDS TRANSLATION
"xinh","",5,NEEDS TRANSLATION
"chơi","",5,NEEDS TRANSLATION
"doong","",5,NEEDS TRANSLATION
"chê","",5,NEEDS TRANSLATION
"bạc","",5,NEEDS TRANSLATION
"tha","",4,NEEDS TRANSLATION
"rang","",4,NEEDS TRANSLATION
"Bà","Mrs.",4,TRANSLATED
"hồng","pink/red",4,TRANSLATED
"khóc","cry",4,TRANSLATED
"nằm","lie down",4,TRANSLATED
"lo","worry/care",4,TRANSLATED
"học","study",4,TRANSLATED
"mang","",4,NEEDS TRANSLATION
"Dù","",4,NEEDS TRANSLATION
"bánh","",4,NEEDS TRANSLATION
"trai","",4,NEEDS TRANSLATION
"Sáo","flute",4,TRANSLATED
"Tu","",4,NEEDS TRANSLATION
"cánh","",4,NEEDS TRANSLATION
"hai","two",4,TRANSLATED
"nơi","",4,NEEDS TRANSLATION
"kéo","pull",4,TRANSLATED
"nói","say/speak",4,TRANSLATED
"bến","dock/pier",4,TRANSLATED
"Tay","",4,NEEDS TRANSLATION
"chúc","wish",4,TRANSLATED
"tri","",4,NEEDS TRANSLATION
"Hai","two",4,TRANSLATED
"cửi","",4,NEEDS TRANSLATION
"dệt","weave",4,TRANSLATED
"Năm","five",4,TRANSLATED
"quanh","",4,NEEDS TRANSLATION
"Hỡi","",4,NEEDS TRANSLATION
"điều","",4,NEEDS TRANSLATION
"dựng","",4,NEEDS TRANSLATION
"muốn","",4,NEEDS TRANSLATION
"xung","clash",4,TRANSLATED
"hàng","",4,NEEDS TRANSLATION
"í","",4,NEEDS TRANSLATION
"nhá","",4,NEEDS TRANSLATION
"mai","tomorrow/apricot blossom",4,TRANSLATED
"Ba","three",4,TRANSLATED
"đều","",4,NEEDS TRANSLATION
"gấm","",4,NEEDS TRANSLATION
"hờ","",4,NEEDS TRANSLATION
"nỏ","",4,NEEDS TRANSLATION
"tiếng","",4,NEEDS TRANSLATION
"cả","",4,NEEDS TRANSLATION
"Không","not/no",4,TRANSLATED
"trước","",4,NEEDS TRANSLATION
"gió","",4,NEEDS TRANSLATION
"thăm","",4,NEEDS TRANSLATION
"mịt","",4,NEEDS TRANSLATION
"Lấy","",4,NEEDS TRANSLATION
"cảnh","scene/scenery",4,TRANSLATED
"Báo","",4,NEEDS TRANSLATION
"mô","",4,NEEDS TRANSLATION
"thiếp","",4,NEEDS TRANSLATION
"Ra","go out",4,TRANSLATED
"mù","",4,NEEDS TRANSLATION
"lưới","",4,NEEDS TRANSLATION
"tóc","",4,NEEDS TRANSLATION
"nợ","",4,NEEDS TRANSLATION
"Này","this/hey",4,TRANSLATED
"bắt","",4,NEEDS TRANSLATION
"chèo","row/paddle",4,TRANSLATED
"(Chào","",4,NEEDS TRANSLATION
"chữ","",4,NEEDS TRANSLATION
"toan","",4,NEEDS TRANSLATION
"bảy","seven",4,TRANSLATED
"sau","",4,NEEDS TRANSLATION
"bầy","",4,NEEDS TRANSLATION
"hãy","",4,NEEDS TRANSLATION
"chua","",4,NEEDS TRANSLATION
"và","and",4,TRANSLATED
"tró","",4,NEEDS TRANSLATION
"đêm","night",4,TRANSLATED
"tây","",4,NEEDS TRANSLATION
"Thấy","see",4,TRANSLATED
"quẫy","",4,NEEDS TRANSLATION
"dắt","",4,NEEDS TRANSLATION
"tà","",4,NEEDS TRANSLATION
"Thiên","",4,NEEDS TRANSLATION
"chiền","",4,NEEDS TRANSLATION
"Lả","wilt/exhausted",4,TRANSLATED
"I","",4,NEEDS TRANSLATION
"xin","",4,NEEDS TRANSLATION
"chết","",4,NEEDS TRANSLATION
"sườn","",4,NEEDS TRANSLATION
"đầu","",4,NEEDS TRANSLATION
"càng","",4,NEEDS TRANSLATION
"vừa","",4,NEEDS TRANSLATION
"buôn","",4,NEEDS TRANSLATION
"cá","fish",4,TRANSLATED
"gôông","",4,NEEDS TRANSLATION
"be","",4,NEEDS TRANSLATION
"rạng","",4,NEEDS TRANSLATION
"Long","",4,NEEDS TRANSLATION
"(ấy)","",4,NEEDS TRANSLATION
"ư)","",4,NEEDS TRANSLATION
"lội","",4,NEEDS TRANSLATION
"thành","city",4,TRANSLATED
"thứ","",4,NEEDS TRANSLATION
"đoạn","",4,NEEDS TRANSLATION
"lụy","",4,NEEDS TRANSLATION
"lưu","",4,NEEDS TRANSLATION
"mặc","",4,NEEDS TRANSLATION
"sung","",4,NEEDS TRANSLATION
"vai","",3,NEEDS TRANSLATION
"dom","",3,NEEDS TRANSLATION
"thơ","poetry",3,TRANSLATED
"treo","",3,NEEDS TRANSLATION
"ngay","",3,NEEDS TRANSLATION
"tơ","silk",3,TRANSLATED
"cà","on",3,TRANSLATED
"lúc","moment/when",3,TRANSLATED
"ngáy","snore",3,TRANSLATED
"o","",3,NEEDS TRANSLATION
"Đi","go",3,TRANSLATED
"sách","",3,NEEDS TRANSLATION
"Cử","",3,NEEDS TRANSLATION
"tú","",3,NEEDS TRANSLATION
"ít","",3,NEEDS TRANSLATION
"dại","",3,NEEDS TRANSLATION
"Tềnh","",3,NEEDS TRANSLATION
"mong","",3,NEEDS TRANSLATION
"Bồ","",3,NEEDS TRANSLATION
"Các","all/various",3,TRANSLATED
"bác","uncle/aunt (older)",3,TRANSLATED
"Ri","",3,NEEDS TRANSLATION
"Hú","",3,NEEDS TRANSLATION
"súng","",3,NEEDS TRANSLATION
"làng","village",3,TRANSLATED
"lả","wilt/exhausted",3,TRANSLATED
"Tình","feeling/love",3,TRANSLATED
"giờ","",3,NEEDS TRANSLATION
"mời","",3,NEEDS TRANSLATION
"bình","peaceful/vase",3,TRANSLATED
"lần","",3,NEEDS TRANSLATION
"Áo","shirt",3,TRANSLATED
"dưới","under/below",3,TRANSLATED
"mắc","",3,NEEDS TRANSLATION
"nhanh","",3,NEEDS TRANSLATION
"bước","",3,NEEDS TRANSLATION
"minh","",3,NEEDS TRANSLATION
"mọi","",3,NEEDS TRANSLATION
"thẳng","",3,NEEDS TRANSLATION
"tiếc","",3,NEEDS TRANSLATION
"chúng","",3,NEEDS TRANSLATION
"vô","",3,NEEDS TRANSLATION
"sơn","",3,NEEDS TRANSLATION
"địa","",3,NEEDS TRANSLATION
"dặn","",3,NEEDS TRANSLATION
"thêm","",3,NEEDS TRANSLATION
"tù","",3,NEEDS TRANSLATION
"lầu","upper floor/mansion",3,TRANSLATED
"ngôi","",3,NEEDS TRANSLATION
"mát","",3,NEEDS TRANSLATION
"Ngó","",3,NEEDS TRANSLATION
"lố","",3,NEEDS TRANSLATION
"dở","",3,NEEDS TRANSLATION
"sắt","",3,NEEDS TRANSLATION
"Cha","father",3,TRANSLATED
"đèn","lamp",3,TRANSLATED
"gánh","carry (on shoulder pole)",3,TRANSLATED
"dễ","",3,NEEDS TRANSLATION
"Mẹ","mother",3,TRANSLATED
"mua","",3,NEEDS TRANSLATION
"Mua","",3,NEEDS TRANSLATION
"đứng","stand",3,TRANSLATED
"thu","harvest",3,TRANSLATED
"hẹn","",3,NEEDS TRANSLATION
"Kua","",3,NEEDS TRANSLATION
"loan","",3,NEEDS TRANSLATION
"boong","",3,NEEDS TRANSLATION
"tử","",3,NEEDS TRANSLATION
"dài","long",3,TRANSLATED
"cải","",3,NEEDS TRANSLATION
"thầy","",3,NEEDS TRANSLATION
"hơn","",3,NEEDS TRANSLATION
"lắm","",3,NEEDS TRANSLATION
"kìa","that (over there)",3,TRANSLATED
"thê","",3,NEEDS TRANSLATION
"Trèo","climb",3,TRANSLATED
"khoai","potato/tuber",3,TRANSLATED
"xăm","",3,NEEDS TRANSLATION
"gốc","",3,NEEDS TRANSLATION
"gái","",3,NEEDS TRANSLATION
"Là","is/be",3,TRANSLATED
"Bồng","carry in arms",3,TRANSLATED
"di","",3,NEEDS TRANSLATION
"ngộ","",3,NEEDS TRANSLATION
")","",3,NEEDS TRANSLATION
"Mấy","",3,NEEDS TRANSLATION
"mặn","",3,NEEDS TRANSLATION
"cay","",3,NEEDS TRANSLATION
"nữa","",3,NEEDS TRANSLATION
"mông","",3,NEEDS TRANSLATION
"Lòng","heart/inside",3,TRANSLATED
"dừa","coconut",3,TRANSLATED
"vì","because",3,TRANSLATED
"lính","",3,NEEDS TRANSLATION
"chạnh","",3,NEEDS TRANSLATION
"Thuyền","boat",3,TRANSLATED
"Thì","",3,NEEDS TRANSLATION
"Ơi","oh/hey",3,TRANSLATED
"tiền","",3,NEEDS TRANSLATION
"mở","",3,NEEDS TRANSLATION
"cờ","",3,NEEDS TRANSLATION
"tai","",3,NEEDS TRANSLATION
"gà","chicken",3,TRANSLATED
"sự","",3,NEEDS TRANSLATION
"sớm","",3,NEEDS TRANSLATION
"mi","you (informal)",3,TRANSLATED
"lua","",3,NEEDS TRANSLATION
"nỗi","",3,NEEDS TRANSLATION
"rượng","",3,NEEDS TRANSLATION
"Ấy","",3,NEEDS TRANSLATION
"ức","",3,NEEDS TRANSLATION
"Hà","",3,NEEDS TRANSLATION
"Mở","",3,NEEDS TRANSLATION
"Tiền","",3,NEEDS TRANSLATION
"ca","",3,NEEDS TRANSLATION
"vang","",3,NEEDS TRANSLATION
"giữ","",3,NEEDS TRANSLATION
"Tây","",3,NEEDS TRANSLATION
"canh","",3,NEEDS TRANSLATION
"thổi","",3,NEEDS TRANSLATION
"tựa","lean against",3,TRANSLATED
"nhìn","",3,NEEDS TRANSLATION
"nay","",3,NEEDS TRANSLATION
"nghĩ","",3,NEEDS TRANSLATION
"khác","",3,NEEDS TRANSLATION
"Trọng","important/heavy",3,TRANSLATED
"ờ)","",3,NEEDS TRANSLATION
"ơ)","",3,NEEDS TRANSLATION
"cách","",3,NEEDS TRANSLATION
"trở","",3,NEEDS TRANSLATION
"Người","person",3,TRANSLATED
"Nước","water/country",3,TRANSLATED
"quang","",3,NEEDS TRANSLATION
"ờ","",3,NEEDS TRANSLATION
"Thương","love/pity",3,TRANSLATED
"nguồn","",3,NEEDS TRANSLATION
"hẻ","",3,NEEDS TRANSLATION
"hè","",3,NEEDS TRANSLATION
"bổong","",3,NEEDS TRANSLATION
"Ti","",3,NEEDS TRANSLATION
"đàng","",3,NEEDS TRANSLATION
"hồn","",3,NEEDS TRANSLATION
"êm","",3,NEEDS TRANSLATION
"trắng","white",3,TRANSLATED
"Tràng","",3,NEEDS TRANSLATION
"tìm","",3,NEEDS TRANSLATION
"thôi","",3,NEEDS TRANSLATION
"tốn","",3,NEEDS TRANSLATION
"phượng","",3,NEEDS TRANSLATION
"ả","",3,NEEDS TRANSLATION
"pa","",3,NEEDS TRANSLATION
"(thì)","",3,NEEDS TRANSLATION
"ngựa","horse",3,TRANSLATED
"Thăng","",3,NEEDS TRANSLATION
"dòng","",3,NEEDS TRANSLATION
"chơ","",2,NEEDS TRANSLATION
"mơ","",2,NEEDS TRANSLATION
"cau","",2,NEEDS TRANSLATION
"ô","",2,NEEDS TRANSLATION
"thơng","",2,NEEDS TRANSLATION
"klong","",2,NEEDS TRANSLATION
"lơi","",2,NEEDS TRANSLATION
"ếch","frog",2,TRANSLATED
"quằn","",2,NEEDS TRANSLATION
"queo","",2,NEEDS TRANSLATION
"Đố","riddle/bet",2,TRANSLATED
"khắp","everywhere",2,TRANSLATED
"nối","connect",2,TRANSLATED
"Chồng","husband",2,TRANSLATED
"bé","small/tiny",2,TRANSLATED
"ngon","",2,NEEDS TRANSLATION
"gai","",2,NEEDS TRANSLATION
"sẽ","",2,NEEDS TRANSLATION
"Trồng","plant",2,TRANSLATED
"Sậu","",2,NEEDS TRANSLATION
"cậu","you (male)",2,TRANSLATED
"Đen","black",2,TRANSLATED
"vác","",2,NEEDS TRANSLATION
"đà","",2,NEEDS TRANSLATION
"to","big",2,TRANSLATED
"Bay","fly",2,TRANSLATED
"Duyên","fate/destiny",2,TRANSLATED
"ngờ","",2,NEEDS TRANSLATION
"dối","",2,NEEDS TRANSLATION
"Nói","say/speak",2,TRANSLATED
"những","",2,NEEDS TRANSLATION
"củi","firewood",2,TRANSLATED
"gia","",2,NEEDS TRANSLATION
"Cô","Miss/aunt",2,TRANSLATED
"Cậu","you (male)",2,TRANSLATED
"khăn","",2,NEEDS TRANSLATION
"Cặp","pair",2,TRANSLATED
"miệng","",2,NEEDS TRANSLATION
"cân","",2,NEEDS TRANSLATION
"Nhạc","",2,NEEDS TRANSLATION
"đan","",2,NEEDS TRANSLATION
"võ","",2,NEEDS TRANSLATION
"phụng","",2,NEEDS TRANSLATION
"nam","south/male",2,TRANSLATED
"Uốn","",2,NEEDS TRANSLATION
"mềm","",2,NEEDS TRANSLATION
"Tôi","I/me",2,TRANSLATED
"hạ","",2,NEEDS TRANSLATION
"thái","",2,NEEDS TRANSLATION
"no","",2,NEEDS TRANSLATION
"đủ","",2,NEEDS TRANSLATION
"(ớ)","",2,NEEDS TRANSLATION
"thủy","",2,NEEDS TRANSLATION
"hữu","",2,NEEDS TRANSLATION
"gửi","",2,NEEDS TRANSLATION
"đó","",2,NEEDS TRANSLATION
"lu","",2,NEEDS TRANSLATION
"chù","",2,NEEDS TRANSLATION
"xái","",2,NEEDS TRANSLATION
"pàng","",2,NEEDS TRANSLATION
"chừ","",2,NEEDS TRANSLATION
"đình","",2,NEEDS TRANSLATION
"giếng","",2,NEEDS TRANSLATION
"hợp","",2,NEEDS TRANSLATION
"tác","",2,NEEDS TRANSLATION
"hạt","",2,NEEDS TRANSLATION
"trĩu","",2,NEEDS TRANSLATION
"ngoại","",2,NEEDS TRANSLATION
"tâm","heart/mind",2,TRANSLATED
"Pên","",2,NEEDS TRANSLATION
"cặt","",2,NEEDS TRANSLATION
"mít","",2,NEEDS TRANSLATION
"chót","",2,NEEDS TRANSLATION
"leo","climb",2,TRANSLATED
"khéo","",2,NEEDS TRANSLATION
"lèo","",2,NEEDS TRANSLATION
"ciu","",2,NEEDS TRANSLATION
"lê","",2,NEEDS TRANSLATION
"Tách","",2,NEEDS TRANSLATION
"khăng","",2,NEEDS TRANSLATION
"kháng","",2,NEEDS TRANSLATION
"kẻ","",2,NEEDS TRANSLATION
"lông","",2,NEEDS TRANSLATION
"Hời","",2,NEEDS TRANSLATION
"(hơ)","",2,NEEDS TRANSLATION
"(hơ","",2,NEEDS TRANSLATION
"ầu","",2,NEEDS TRANSLATION
"Bên","side/beside",2,TRANSLATED
"Chớ","",2,NEEDS TRANSLATION
"xế","",2,NEEDS TRANSLATION
"Ha","",2,NEEDS TRANSLATION
"hưm","",2,NEEDS TRANSLATION
"Ph","",2,NEEDS TRANSLATION
"thâm","",2,NEEDS TRANSLATION
"Thầy","",2,NEEDS TRANSLATION
"Còn","",2,NEEDS TRANSLATION
"đứt","",2,NEEDS TRANSLATION
"côi","",2,NEEDS TRANSLATION
"lỡ","",2,NEEDS TRANSLATION
"phân","",2,NEEDS TRANSLATION
"biểu","",2,NEEDS TRANSLATION
"tàn","",2,NEEDS TRANSLATION
"nhiêu","",2,NEEDS TRANSLATION
"dừng","",2,NEEDS TRANSLATION
"Ru","lull",2,TRANSLATED
"mỏ","",2,NEEDS TRANSLATION
"phụ","",2,NEEDS TRANSLATION
"phàng","",2,NEEDS TRANSLATION
"rẫy","swidden field",2,TRANSLATED
"Hỏi","ask",2,TRANSLATED
"Mịt","",2,NEEDS TRANSLATION
"khói","",2,NEEDS TRANSLATION
"tỏa","",2,NEEDS TRANSLATION
"che","",2,NEEDS TRANSLATION
"hòa","",2,NEEDS TRANSLATION
"Hay","",2,NEEDS TRANSLATION
"cương","",2,NEEDS TRANSLATION
"kỳ","",2,NEEDS TRANSLATION
"(Nam","",2,NEEDS TRANSLATION
"phù","",2,NEEDS TRANSLATION
"tổng","",2,NEEDS TRANSLATION
"hội","",2,NEEDS TRANSLATION
"Hồ","",2,NEEDS TRANSLATION
"bữa","",2,NEEDS TRANSLATION
"Trời","",2,NEEDS TRANSLATION
"tháng","month",2,TRANSLATED
"vẫn","",2,NEEDS TRANSLATION
"Xem","",2,NEEDS TRANSLATION
"lộng","",2,NEEDS TRANSLATION
"nồng","",2,NEEDS TRANSLATION
"chải","",2,NEEDS TRANSLATION
"thanh","",2,NEEDS TRANSLATION
"xâm","",2,NEEDS TRANSLATION
"cơ","",2,NEEDS TRANSLATION
"thiệt","",2,NEEDS TRANSLATION
